Time (s),Signal
0.0,0.0
0.005,0.6505757718217865
0.01,1.076389749859458
0.015,1.1384378308808782
0.02,0.836475139457328
0.025,0.3090169943749475
0.03,-0.2196606996077951
0.035,-0.5252772247300808
0.04,-0.4693028421934383
0.045,-0.0519584573134767
0.05,0.5877852522924729
0.055,1.2252092420411627
0.06,1.6356036222238421
0.065,1.6800251437165652
0.07,1.3582984950682626
0.075,0.8090169943749478
0.08,0.25654267320954227
0.085,-0.07474983625128973
0.09,-0.046229463829134176
0.095,0.3419912335957779
0.1,0.9510565162951531
0.105,1.5563684134211038
0.11,1.933343767023842
0.115,1.9431712176096316
0.12,1.5858119807207451
0.125,1.0000000000000007
0.13,0.410241476135799
0.135,0.041058185019324345
0.14,0.031230734433534857
0.145,0.3807979088361575
0.15,0.9510565162951529
0.155,1.5175617381807238
0.16,1.8558835687611728
0.165,1.8273631963390173
0.17,1.4321131777944887
0.17500000000000002,0.8090169943749448
0.18,0.18272799048331678
0.185,-0.22208788887374187
0.19,-0.266509410366465
0.195,0.04963873745621594
0.2,0.5877852522924722
0.20500000000000002,1.1236120472714717
0.21,1.4328101903968689
0.215,1.3768358078602267
0.22,0.9559098049771522
0.225,0.3090169943749486
0.23,-0.3390953651276174
0.23500000000000001,-0.7636752017094297
0.24,-0.8257232827308494
0.245,-0.5249947327631606
0.25,-1.102182119232618e-15
0.255,0.5249947327631617
0.26,0.8257232827308489
0.265,0.7636752017094282
0.27,0.33909536512761923
0.275,-0.30901699437494995
0.28,-0.9559098049771504
0.28500000000000003,-1.376835807860227
0.29,-1.4328101903968689
0.295,-1.1236120472714735
0.3,-0.5877852522924745
0.305,-0.049638737456220605
0.31,0.26650941036646436
0.315,0.22208788887374165
0.32,-0.182727990483315
0.325,-0.8090169943749493
0.33,-1.432113177794487
0.335,-1.8273631963390178
0.34,-1.8558835687611739
0.34500000000000003,-1.517561738180723
0.35000000000000003,-0.9510565162951481
0.355,-0.38079790883616216
0.36,-0.031230734433535745
0.365,-0.04105818501932257
0.37,-0.410241476135797
0.375,-0.9999999999999946
0.38,-1.5858119807207431
0.385,-1.943171217609632
0.39,-1.933343767023843
0.395,-1.5563684134211029
0.4,-0.9510565162951556
0.405,-0.3419912335957769
0.41000000000000003,0.04622946382913562
0.41500000000000004,0.07474983625128973
0.42,-0.2565426732095407
0.425,-0.8090169943749419
0.43,-1.358298495068261
0.435,-1.6800251437165634
0.44,-1.6356036222238433
0.445,-1.2252092420411618
